Supplier #,Country ,Supplier Name,Business Type,Contact Name,Title ,E-Mail Address,Manufacturer Address,City,Province,Telephone Number,Fax Number,Web Address,,,,,
IN015,IN,IMPERIAL KNITTERS,Manufacturer,Mr.Rishi ,Director,imperialknitters@gmail.com,"4(3)/23, Jothi Nagar 1st Street, Back Side KVB, PN Road, Tirupur 641603",Tirupur,Tamilnadu,",  +91 421 2484229",,,,,,,Knit
IN016,IN,ARAISE FABRICS,Manufacturer,Mr.Thirumal Selvan,GM,thirumal@arisefabrics@gmail.com,"No14,KPN colony, 3rd Street, Anna Nagar Extn ,Tirupur 641601",Tirupur,Tamilnadu,", +91 99439 91200",,,,,,,Woven
IN017,IN,RAJDHANI KNITTERS,Manufacturer,Mr.Mayank,Director,rk@rajdhani.com,"10, COllege Road, 1st Cross, Tirupur 641602",Tirupur,Tamilnadu,", +91 421 2247417",. +91 421 2247317,www.topnotche.com,,,,,Other
IN018,IN,SEER TEXTILE MILLS / VALRUS FABRICS,STOCKIST,Mr. Leo,Manager,gspd777@gmail.com,"no7, Pushpa Nagar, Kangeyam Cross Road, Tirupu 641 604",Tirupur,Tamilnadu,. +91 98430 77722,,,,,,,
IN019,IN,KOTHARI KNITTERS,STOCKIST,Mr. Gautham,Director,kothariknitters@gmail.com,"47, Perumal Kovil Street, Tirupur 6410604",Tirupur,Tamilnadu,. + 91 421 2249379,,,,,,,
IN020,IN,SP TEX [INDIA],STOCKIST,Mr. Kanagaraj,Manager Sales,tirupatiexports@rediffmail.com,"14/71(2) < Muthusamy Street, Odakkadu, Tirupur 641 602",Tirupur,Tamilnadu,. +91 421 2200359,,,,,,,
IN021,IN,SUNSHINE KNITTING WEARS,STOCKIST,Mr. Vikas,Manager,sunshineknitwear@gmail.com,"no13/7,M.G.R. Nagar, 1st Street, PN Road, Near Shanthi Thatre, Tirupur 641602",Tirupur,Tamilnadu,. + 91 421 4333091,,,,,,,
IN022,IN,VAIBHAV CREATIONS,Trader,Mr.Jyotesh,Director,chopdagroup@hathway.com,"Trade World ""B""wing, Ground Floor No3,Kamala Mill Compound, Lower Parel (W), Mumbai 400013",Mumbai,Maharastra, +91 98210 88667,,,,,,,
IN023,IN,DINESH EXPORTS,FABRIC MILL,Mr.Dinesh,Director,dinesh@dineshexports.net,"58/1B,Kudi Street,Kootapalli, Tiruchengodu, Namakal District",Namakal,Tamilnadu,. +91 80125 28151,,,,,,,
IN024,IN,SIVA SANKARI TEX,Manufacturer,Mr.Kannan,Director,sivasankaritex@gmail.com,"48/90,Cauvery Road, Veerappan Chathiram, Erode 638004",Erode,Tamilnadu,. +91 94432 30716,,,,,,,
IN025,IN,BALU FABRICS,STOCKIST,BALU,Director,balutextilestpr@gmail.com,"13/6/10, Elango Nagar Cross 3rd Street, PN Road, Tirupur 641602",Tirupur,Tamilnadu,. +91 421 2481540,,,,,,,
IN029,IN,WALKMAN SYNTHETICS,Manufacturer,Mr.Predeep Solanki,Director,walkmanspl@gmail.com,"202,Kewal Industrial Estate, Senapati Bapat Marg, Lower Parel, Mumbai-400012
",Mumbai,Maharastra,022-248983451,,,,,,,
IN030,IN,SHREE RAM INDUSTRIES ,Manufacturer,Mr.Nitesh Dani,Marketing Manger,nitesh@shreeramind.in,"21, Girdhar Industrial Society, Part-II, Near Vipin Dyeing, Udhna Magdalla Road, Surat – 395007",Surat,Gujarat,0261-2631114,,,,,,,
IN031,IN,SHIREEJI TEX FABS,Trader,Mr.KCG.Murthy,Director,shrijifabrics@gmail.com,"Ground Floor C-204, Sumel Business Park 2, Near Vanijya Bhavan ,Kankariya, Ahmedabad 380022",Ahmedabad,Gujarat,079-31900060,,,,,,,
IN032,IN,ARTEX TRENDS,Manufacturer,Mr. Gagan Pirgal,Director,gagspirgal@gmail.com,"9/2,Orchid Plaza, 4th Cross, H.Siddaiah Road, Bengaluru 560027",Bengaluru,karnataka,080-41698414,,,,,,,
IN033,IN,SOHAM FASHIONS,Manufacturer,Mr.Siddharth,Director,sohamfashions@gmail.com,"31/1,5th Main Road, Near Vinayakatemple, Opp.KaviTravels, Srirampuram ,Bangalore 560021",Bengaluru,Karnataka,080-23522398,,,,,,,
IN034,IN,SHRI MURUGAN EXPORT,Manufacturer,Mr.Jaygopal ,Director,fab@shrimuruganexport.net,"67,Kalarampatti Main Road No1, Karungalpatti,Gugai, Salem 636006",Salem,Tamilnadu,0427-2466651,,,,,,,
IN035,IN,AGC ,Manufacturer,Mr.Ambrosw,Marketing Manger,mail@ganapathiyarn.com,"19,K.P.P Gardens, Kongu Main Road,, Tirupur 641607",Tirupur,Tamilnadu,0421-4317900,0421-2221277,www.ganapathiyarn.net,,,,,
IN036,IN,A TO Z,Manufacturer,Mr.Suresh,Director,,"PN Road,Tirupur",Tirupur,Tamilnadu,,,,,,,,
IN037,IN,VENKATESH KNITS ,Manufacturer,Mr. Venkatesh,Director,,"SV Colony, Tirupur.",Tirupur,Tamilnadu,,,,,,,,
IN038,IN,SAMYUKTHA GARMENTS,Garmenter,,Director,,,Tirupur,Tamilnadu,,,,,,,,
IN039,IN,OSEAS FASHION,Manufacturer,Mr. Manish suhagiya,Director,oseasfashion@gmail.com,"B-1207/08, New Bombay Market, Umarwada, Surat, Gujarat- 395010",Surat,Gujarat,0261-2350557,,,,,,,
