Country,Date,Day of Week,Affect,Description,Affected Supply Chain,,,,,,All,China,Monday,Work Day
Vietnam,1/1/16,Friday,Work Day,New Year Holiday,All,,,,,,Garment/Fabric,Vietnam,Tuesday,Not Work Day
Vietnam,2/4/16,Thursday,Work Day,Lunar New Year,Garment/Fabric,,,,,,Office/Garment,India Hyderabad,Wednesday,
Vietnam,2/5/16,Friday,Work Day,Lunar New Year,Garment/Fabric,,,,,,Office only,India Bangalore,Thursday,
Vietnam,2/6/16,Saturday,Work Day,Lunar New Year,All,,,,,,Garment Mfr only,India Tirupur,Friday,
Vietnam,2/7/16,Sunday,Not Work Day,Lunar New Year,All,,,,,,Fabric Mill only,India ALL,Saturday,
Vietnam,2/8/16,Monday,Work Day,Lunar New Year,All,,,,,,,,Sunday,
Vietnam,2/9/16,Tuesday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/10/16,Wednesday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/11/16,Thursday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/12/16,Friday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/13/16,Saturday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/14/16,Sunday,Not Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/15/16,Monday,Work Day,Lunar New Year,All,,,,,,,,,
Vietnam,2/16/16,Tuesday,Work Day,Lunar New Year,Garment/Fabric,,,,,,,,,
Vietnam,4/18/16,Monday,Work Day,Compensation Holiday for for King Hung's Death Anniversary,All,,,,,,,,,
Vietnam,5/2/16,Monday,Work Day,Compensation Holiday for Liberation Day,All,,,,,,,,,
Vietnam,5/3/16,Tuesday,Work Day,Compensation Holiday for International Labor Day,All,,,,,,,,,
Vietnam,9/2/16,Friday,Work Day,Independent Day,All,,,,,,,,,
India Hyderabad,1/15/16,Friday,Work Day,Pongal/Sankranthi,All,,,,,,,,,
India Hyderabad,1/26/16,Tuesday,Work Day,Republic Day,All,,,,,,,,,
India Hyderabad,3/7/16,Monday,Work Day,Maha Shivrathri,All,,,,,,,,,
India Hyderabad,3/24/16,Thursday,Work Day,Holi,All,,,,,,,,,
India Hyderabad,4/8/16,Friday,Work Day,Ugadi,All,,,,,,,,,
India Hyderabad,5/1/16,Sunday,Not Work Day,May Day,All,,,,,,,,,
India Hyderabad,8/15/16,Monday,Work Day,Independence Day,All,,,,,,,,,
India Hyderabad,9/5/16,Monday,Work Day,Ganesh Chaturthi,All,,,,,,,,,
India Hyderabad,10/2/16,Sunday,Not Work Day,Gandhi Jayanti,All,,,,,,,,,
India Hyderabad,10/11/16,Tuesday,Work Day,Dussehra,All,,,,,,,,,
India Hyderabad,10/30/16,Sunday,Not Work Day,Diwali,All,,,,,,,,,
India Hyderabad,12/25/16,Sunday,Not Work Day,Christmas,All,,,,,,,,,
India Bangalore,1/1/16,Friday,Work Day,New Year Holiday,All,,,,,,,,,
India Bangalore,1/14/16,Thursday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Bangalore,1/15/16,Friday,Work Day,Pongal/Sankranthi,All,,,,,,,,,
India Bangalore,1/16/16,Saturday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Bangalore,1/17/16,Sunday,Not Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Bangalore,1/26/16,Tuesday,Work Day,Republic Day,All,,,,,,,,,
India Bangalore,3/7/16,Monday,Work Day,Maha Shivrathri,All,,,,,,,,,
India Bangalore,3/24/16,Thursday,Work Day,Holi,All,,,,,,,,,
India Bangalore,3/25/16,Friday,Work Day,Good Friday,Office only,,,,,,,,,
India Bangalore,4/8/16,Friday,Work Day,Ugadi,All,,,,,,,,,
India Bangalore,5/1/16,Sunday,Not Work Day,May Day,All,,,,,,,,,
India Bangalore,8/15/16,Monday,Work Day,Independence Day,All,,,,,,,,,
India Bangalore,9/5/16,Monday,Work Day,Ganesh Chaturthi,All,,,,,,,,,
India Bangalore,10/2/16,Sunday,Not Work Day,Gandhi Jayanti,All,,,,,,,,,
India Bangalore,10/10/16,Monday,Work Day,Ayudha Pooja,All,,,,,,,,,
India Bangalore,10/11/16,Tuesday,Work Day,Dussehra,All,,,,,,,,,
India Bangalore,10/29/16,Saturday,Work Day,Narak Chaturdashi,All,,,,,,,,,
India Bangalore,10/30/16,Sunday,Not Work Day,Diwali,All,,,,,,,,,
India Bangalore,10/31/16,Monday,Work Day,Diwali,All,,,,,,,,,
India Bangalore,11/1/16,Tuesday,Work Day,Kannada Rajyothsva,All,,,,,,,,,
India Bangalore,11/17/16,Thursday,Work Day,Kanakadasha Jayanthi,All,,,,,,,,,
India Tirupur,1/1/16,Friday,Work Day,New Year Holiday,All,,,,,,,,,
India Tirupur,1/10/16,Sunday,Not Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Tirupur,1/11/16,Monday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Tirupur,1/12/16,Tuesday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Tirupur,1/13/16,Wednesday,Work Day,Pongal/Sankranthi,All,,,,,,,,,
India Tirupur,1/14/16,Thursday,Work Day,Pongal/Sankranthi,All,,,,,,,,,
India Tirupur,1/15/16,Friday,Work Day,Pongal/Sankranthi,All,,,,,,,,,
India Tirupur,1/16/16,Saturday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Tirupur,1/17/16,Sunday,Not Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
India Tirupur,1/18/16,Monday,Work Day,Pongal/Sankranthi,Garment/Fabric,,,,,,,,,
