SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00100067,CN001,China,Canchen Textile,X-ZH345,Knit,circular,,Jersey,polyester,68,rayon ,28,spandex,4,100,200,gsm,155,cm,27.30,4.20,meter,,,Stock,0,,0,,"stock, 2015/12",No,,,,,,,,,Knit,gsm,meter,Acrylic,warp,,,,,,,,,,,,
KCN00100068,CN001,China,Canchen Textile,X-ZH388-1,Knit,circular,,Jersey,rayon ,94,spandex,6,,,100,250,gsm,165,cm,13.89,2.14,meter,,,Stock,0,,0,,"stock, 2015/12",No,,,,,,,,,Woven,kg,yard,bamboo,circular,,,,,,,,,,,,
KCN00100069,CN001,China,Canchen Textile,X-ZH395,Knit,circular,,Jersey,polyester,68,rayon ,27,spandex,5,100,210,gsm,155,cm,19.35,2.98,meter,,,Stock,0,,0,,"stock, 2015/12",No,,,,,,,,,Other,oz/sy,cm,cotton,,,,,,,,,,,,,
KCN00100070,CN001,China,Canchen Textile,X-ZH396,Knit,circular,,Jersey,rayon ,70,nylon,24,spandex,6,100,285,gsm,2,cm,11.92,1.83,meter,,,Stock,0,,0,,"stock, 2015/12",No,,,,,,,,,,,inches,micromodal,,,,,,,,,,,,,
KCN00100071,CN001,China,Canchen Textile,X-ZH412,Knit,circular,,Jersey,polyester,92,spandex,8,,,100,255,gsm,160,cm,24.55,3.78,meter,,,Stock,0,,0,,"stock, 2015/12",No,,,,,,,,,,,kg,Modal,,,,,,,,,,,,,
KCN00100086,CN001,China,Canchen Textile,CC-1230-1,Knit,circular,,French Terry,Cotton,100,,,,,100,230,gsm,170,cm,40,6.15,meter,,,Mill,,kg,,kg,"For solid color,  RMB50RMB/kg",No,,,,,,,,,,,,nylon,,,,,,,,,,,,,
KCN00100087,CN001,China,Canchen Textile,CC-1230-2,Knit,circular,,French Terry,Polyester,50,rayon ,50,,,100,230,gsm,170,cm,31,4.77,meter,,,Mill,,kg,,kg,"For solid color,  RMB50RMB/kg",No,,,,,,,,,,,,polyester,,,,,,,,,,,,,
KCN00100534,CN001,China,Canchen Textile,CC-0421-01,Knit,circular,,Tulle netting,polyester,100,,,,,100,,gsm,150,CM,23.8,3.66,meter,,,Stock,0,,0,,"stock fabric, white and black available.",No,,,,,,,,,,,,rayon ,,,,,,,,,,,,,
KCN00100702,CN001,China,Canchen Textile,CC-10408,Knit,circular,,Fleece,polyester,60,cotton,20,rayon ,20,100,260,gsm,155,CM,,,,6.5,METER,Stock,0,,0,,stock fabric,No,,,,,,,,,,,,spandex,,,,,,,,,,,,,
KCN00200015,CN002,China,Zhongcheng Textile,MJQ-15-06,Knit,circular,,Fleece,Polyester,100,,,,,100,250,gsm,152,cm,13.3,2.05,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,Tencel,,,,,,,,,,,,,
KCN00200016,CN002,China,Zhongcheng Textile,ZC-12-50,Knit,circular,,Jersey,Rayon ,92,spandex,8,,,100,275,gsm,152,cm,21.75,3.35,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,viscose,,,,,,,,,,,,,
KCN00200017,CN002,China,Zhongcheng Textile,WSJ-08-50,Knit,circular,,Ponte,Cotton,70,polyester,30,,,100,240,gsm,160,cm,21.88,3.37,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200018,CN002,China,Zhongcheng Textile,WSJ-10-012,Knit,circular,,Ponte,Rayon ,65,polyester,30,spandex,5,100,290,gsm,152,cm,22.91,3.52,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200019,CN002,China,Zhongcheng Textile,ZWL-12-017B,Knit,circular,,Ponte,polyester,70,rayon ,30,,,100,320,gsm,156,cm,23.85,3.67,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
