SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN00100168,CN001,China,Canchen Textile,X13-186,Woven,,,Crepe,polyester,100,,,,,100,110,GSM,145,CM,12.5,1.92,meter,Mill,0,,0,,For printed solid color: RMB58RMB/kg,,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,acetate,
WCN00100169,CN001,China,Canchen Textile,X14-009,Woven,,,Satin,polyester,100,,,,,100,235,GSM,145,CM,25,3.85,meter,Mill,0,,0,,,,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,spandex,
WCN00100170,CN001,China,Canchen Textile,X14-010,Woven,,,other,polyester,95,polyester,5,spandex,,100,150,GSM,145,CM,13.5,2.08,meter,Mill,0,,0,,For printed heather &camouflage color: RMB68RMB/kg,,sucharge 800RMB for small lot dye,,,95%polyester5%spandex,,,,,,,,,viscose,
WCN00100171,CN001,China,Canchen Textile,X14-061,Woven,,,Crepe,polyester,96,polyester,4,spandex,,100,220,GSM,137,CM,18,2.77,meter,Mill,0,,0,,,,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100172,CN001,China,Canchen Textile,X15-001,Woven,,,Plain Weave,polyester,100,polyester,,,,100,220,GSM,145,CM,20.5,3.15,,Mill,0,,0,,Print method is heat transfer,,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00100173,CN001,China,Canchen Textile,X15-031,Woven,,,Crepe,polyester,100,polyester,,,,100,150,GSM,145,CM,14,2.15,meter,Mill,0,,0,,,,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00100174,CN001,China,Canchen Textile,X15-034,Woven,,,Crepe,polyester,100,polyester,,,,100,80,GSM,145,CM,14.5,2.23,meter,Mill,0,,0,,Surcharge: 2000RMB per color mold+500RMB machine set cost if less 100kg.,,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00100175,CN001,China,Canchen Textile,X15-035,Woven,,,other,polyester,100,polyester,,,,100,250,GSM,145,CM,23.5,3.62,meter,Mill,0,,1000,meter,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00100176,CN001,China,Canchen Textile,X15-036,Woven,,,other,polyester,96,polyester,4,spandex,,100,230,GSM,145,CM,18.2,2.80,meter,Mill,0,,1000,meter,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100177,CN001,China,Canchen Textile,X15-037,Woven,,,satin,polyester,100,,,,,100,150,GSM,145,CM,14.8,2.28,meter,Mill,0,,1000,meter,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,100%polyester,,,,,,,,,,
