SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(Rs)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
KIN01600265,IN016,India,ARAISE FABRICS,,Knit,circular,,jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,183.3333333,2.82,meter,Stock,0,,0,,Fresh Fabric Manufacturer,No,price based on 200 kgs,95% Viscose5% Spandex,,,,,,Woven,kg,yard,nylon,circular
KIN02000256,IN020,India,SP TEX [INDIA],F703,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,59,inches,200,3.08,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,Other,oz/sy,cm,rayon ,
KIN02000257,IN020,India,SP TEX [INDIA],F35,knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,59,inches,128.3333333,1.97,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,inches,cotton,
KIN02000258,IN020,India,SP TEX [INDIA],F221,Knit,circular,,Jersey,Viscose,60,polyester,35,spandex,5,100,170,gsm,59,inches,128.3333333,1.97,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,60%viscose35%Poly5% sapndex,,,,,,,,,,
KIN02500259,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,83.33333333,1.28,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Melange Viscose5% Spandex,,,,,,,,,,
KIN02500260,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,83.33333333,1.28,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500261,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,170,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500262,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500263,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500264,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,Knit,gsm,meter,polyester,warp
KIN02500277,IN025,India,BALU FABRICS,,Knit,circular,,French Terry,polyester,50,rayon ,45,spandex,5,100,180,gsm,56,inches,300,4.84,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,TriBlend 30 Dia Fabric Open width,,,,,,,,kg,Modal,
