SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN02200266,IN022,India,VAIBHAV CREATIONS,,Woven,,,Twill,cotton,100,,,,,100,200,gsm,58,inches,145,2.23,meter,Mill,0,,0,,Fresh Fabric Manufacturer,Yes,Price based on 1200 mtrs,,,,,,,Woven,kg,yard,nylon,circular
WIN02200267,IN022,India,VAIBHAV CREATIONS,,Woven,,,Poplin,cotton,100,,,,,100,160,gsm,58,inches,110,1.69,meter,Mill,0,,0,,Fresh Fabric Manufacturer,Yes,Price based on 1200 mtrs,,,,,,,Other,oz/sy,cm,rayon ,
WIN02200268,IN022,India,VAIBHAV CREATIONS,,Woven,,,Voile,cotton,100,,,,,100,40,gsm,54,inches,80,1.23,meter,Mill,0,,0,,Fresh Fabric Manufacturer,Yes,Price based on 1200 mtrs,,,,,,,,,inches,cotton,
WIN02200269,IN022,India,VAIBHAV CREATIONS,,Woven,,,Swiss Dot,cotton,100,,,,,100,80,gsm,54,inches,98,1.51,meter,Mill,0,,0,,Fresh Fabric Manufacturer,Yes,Price based on 1200 mtrs,,,,,,,,,kg,Modal,
WIN02300347,IN023,India,DINESH EXPORTS,40x40/132x88 matt oxford,Woven,,,Oxford,cotton,100,,,,,100,135,gsm,"58",inches,,0.00,meter,Stock ,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x40/132x88 matt oxford,,,,,,,,,,,
WIN02300348,IN023,India,DINESH EXPORTS,40sx2/80s/144x72,Woven,,,Oxford,cotton,100,,,,,100,135,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40sx2/80s/144x72,,,,,,,,,,,
WIN02300349,IN023,India,DINESH EXPORTS,40sx2/40/100x56,Woven,,,Oxford,cotton,100,,,,,100,130,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40sx2/40/100x56,,,,,,,,,,,
WIN02300350,IN023,India,DINESH EXPORTS,40sx2/30/100x52,Woven,,,Oxford,cotton,100,,,,,100,125,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40sx2/30/100x52,,,,,,,,,,,
WIN02300351,IN023,India,DINESH EXPORTS,40x2/30/124x60,Woven,,,Oxford,cotton,100,,,,,100,165,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x2/30/124x60,,,,,,,,,,,
WIN02300352,IN023,India,DINESH EXPORTS,40x2/20/100x52,Woven,,,Oxford,cotton,100,,,,,100,195,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x2/20/100x52,,,,,,,,,,,
WIN02300353,IN023,India,DINESH EXPORTS,40x20/92x46,Woven,,,Oxford,cotton,100,,,,,100,120,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x20/92x46,,,,,,,,,,,
WIN02300354,IN023,India,DINESH EXPORTS,40x20/124x48,Woven,,,Oxford,cotton,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x20/124x48,,,,,,,,,,,
WIN02300355,IN023,India,DINESH EXPORTS,40x16/100x48,Woven,,,Oxford,cotton,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x16/100x48,,,,,,,,,,,
WIN02300356,IN023,India,DINESH EXPORTS,40x10/100x48,Woven,,,Oxford,cotton,100,,,,,100,165,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40x10/100x48,,,,,,,,,,,
WIN02300357,IN023,India,DINESH EXPORTS,2/40x2/40/60x56,Woven,,,Oxford,cotton,100,,,,,100,145,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,2/40x2/40/60x56,,,,,,,,,,,
